canton,annee,pct_tertiaire
JU,2012,19.31
JU,2013,19.71
JU,2014,20.42
JU,2015,22.4
JU,2016,22.2
JU,2017,23.27
JU,2018,23.32
JU,2019,22.61
JU,2020,22.69
JU,2021,25.34
JU,2022,25.28
JU,2023,25.64
JU,2024,26.41
