"Année","Type de contribution à la formation","Canton","Degré de formation","Montant versé en fr.","Nombre de bénéficiaires"
"2004","Bourses","Fribourg / Freiburg","Hautes écoles spécialisées et pédagogiques",882636,190
"2004","Bourses","Fribourg / Freiburg","Hautes écoles universitaires",2047752,381
"2004","Bourses","Fribourg / Freiburg","Formation continue",57790,13
"2004","Bourses","Solothurn","Degrés de formation - total",5693205,1110
"2004","Bourses","Solothurn","Scolarité obligatoire",0,0
"2004","Bourses","Solothurn","Maturité gymnasiale",518470,181
"2004","Bourses","Solothurn","Autres formations générales",234595,77
"2004","Bourses","Solothurn","Formation professionnelle initiale (à plein temps)",412285,84
"2004","Bourses","Solothurn","Formation professionnelle initiale (duale)",412735,129
"2004","Bourses","Solothurn","Maturité professionnelle (après l'apprentissage)",64165,17
"2004","Bourses","Solothurn","Formation professionnelle supérieure",319335,56
"2004","Bourses","Solothurn","Hautes écoles spécialisées et pédagogiques",1540310,238
"2004","Bourses","Solothurn","Hautes écoles universitaires",2191310,355
"2004","Bourses","Solothurn","Formation continue",0,0
"2004","Bourses","Basel-Stadt","Degrés de formation - total",9948344,1559
"2004","Bourses","Basel-Stadt","Scolarité obligatoire",0,0
"2004","Bourses","Basel-Stadt","Maturité gymnasiale",631347,149
"2004","Bourses","Basel-Stadt","Autres formations générales",744606,240
"2004","Bourses","Basel-Stadt","Formation professionnelle initiale (à plein temps)",369354,65
"2004","Bourses","Basel-Stadt","Formation professionnelle initiale (duale)",2094109,443
"2004","Bourses","Basel-Stadt","Maturité professionnelle (après l'apprentissage)",153216,22
"2004","Bourses","Basel-Stadt","Formation professionnelle supérieure",1338844,130
"2004","Bourses","Basel-Stadt","Hautes écoles spécialisées et pédagogiques",1803334,205
"2004","Bourses","Basel-Stadt","Hautes écoles universitaires",2583980,330
"2004","Bourses","Basel-Stadt","Formation continue",229554,23
"2004","Bourses","Basel-Landschaft","Degrés de formation - total",11485720,2080
"2004","Bourses","Basel-Landschaft","Scolarité obligatoire",0,0
"2004","Bourses","Basel-Landschaft","Maturité gymnasiale",749755,217
"2004","Bourses","Basel-Landschaft","Autres formations générales",858815,260
"2004","Bourses","Basel-Landschaft","Formation professionnelle initiale (à plein temps)",731350,153
"2004","Bourses","Basel-Landschaft","Formation professionnelle initiale (duale)",1508185,435
"2004","Bourses","Basel-Landschaft","Maturité professionnelle (après l'apprentissage)",19045,3
"2004","Bourses","Basel-Landschaft","Formation professionnelle supérieure",674865,70
"2004","Bourses","Basel-Landschaft","Hautes écoles spécialisées et pédagogiques",2999960,421
"2004","Bourses","Basel-Landschaft","Hautes écoles universitaires",3432380,490
"2004","Bourses","Basel-Landschaft","Formation continue",511365,54
"2004","Bourses","Schaffhausen","Degrés de formation - total",1552159,294
"2004","Bourses","Schaffhausen","Scolarité obligatoire",1250,1
"2004","Bourses","Schaffhausen","Maturité gymnasiale",112750,35
"2004","Bourses","Schaffhausen","Autres formations générales",92400,18
"2004","Bourses","Schaffhausen","Formation professionnelle initiale (à plein temps)",155025,23
